Note,77:3000,77:6000,78:9000,73:2250,69:2250,73:500,85:500,65:4500,64:4500,73:4500,73:250,68:250,68:3000,69:3000,78:3000,73:3000,66:3000,70:3000,65:3000,82:2750,72:500,80:500,75:1250,75:250,78:750,75:500,70:500,73:1000,69:1000,72:1000,69:500,77:250,77:1000,73:1250,78:1250,72:250,77:500,78:500,82:500,78:250,82:250,83:500,74:500,80:250,83:250,74:250,78:1750,75:1000,86:250,85:1000,76:1000,75:2500,74:1000,80:1000,82:1000,84:250,68:1000,70:1000,78:1000,66:1000,82:750,68:500,68:4750,65:4750,73:4750,87:500,91:250,75:750,81:250,79:750,84:500,71:500,81:500,69:250,65:250,66:250,89:250,79:250,70:250,76:250,89:750,79:500,79:1000,86:500,67:250,80:2000,86:2000,84:750,80:750,79:2250,79:1750,73:1750,68:1250,66:1250,66:750,65:500,74:750,67:750,77:1250,77:750,82:1750,85:1250,82:2250,82:1250,79:1250,68:750,76:2250,76:500,80:3000,74:3000,76:3000,76:750,81:750,85:4000,73:4000,77:4000,85:5250,73:5250,79:5250,76:5250,88:5250,71:3000,75:3000,69:4500,71:4500,75:4500,76:4500,68:4500,80:4500,75:23500,68:23500,78:23500,77:1750,90:1500,61:1000,64:250,90:1250,87:250,86:1000,81:1000,87:750,71:1000,77:2500,85:250,83:1000,83:750,89:500,74:1250,83:1250,80:1250,76:1250,87:1000,92:1000,92:500,90:250,88:250,73:750,71:750,71:250,92:250,70:1250,68:2250,77:2250,70:750,89:1250,76:6000,85:750,88:750,79:3000,85:3000,88:3000,83:3000,80:2750,83:2750,71:2750,76:2750,75:1500,72:3000,63:250,75:1750,80:1750,81:1250,69:1250,93:1000,88:1000,88:500,64:500,62:500,61:500,57:500,88:1250,100:1250,100:250,67:500,73:6000,73:11750,80:5250,68:5250,72:5250,75:5250,64:3000,81:1750,63:500,72:750,67:1250,72:1250,63:1250,63:1000,65:1000,94:1000,62:250,94:250,74:1750,80:6000,75:6000,61:1500,73:1500,61:3000,61:4500,66:4500,69:1500,83:5250,78:5250,72:1500,65:750,81:3000,80:2250,66:2250,72:2250,75:2250,63:3000,61:11750,69:4750,61:1750,60:1750,72:1750,71:4750,37:500,93:500,60:250,61:250,61:2250,60:3000,72:4500,68:1500,63:4500,67:4500,70:1500,61:9000,67:9000,68:9000,60:9000,64:750,69:1750,68:1750,60:1000,76:1750,66:500,60:500,58:500,67:1000,71:1250,64:1250,56:500,56:250,61:1250,78:1500,89:2250,85:2250,90:500,92:1250,95:250,78:2250,96:500,82:3250,62:4500,74:1500,62:1250,86:1250,84:1250,44:250,65:1250,63:750,56:1500,56:3000,56:4500,64:1500,60:4500,67:1500,70:2250,66:11750,63:11750,65:11750,68:11750,65:6000,61:6000,68:6000,70:6000,66:6000,56:1000,64:1000,61:2500,63:2500,70:2500,59:250,58:250,52:500,59:500,45:500,33:500,38:250,50:250,38:500,50:500,65:1750,69:750,58:1000,60:750,56:750,58:750,46:750,61:750,49:750,54:500,54:250,51:500,51:1000,39:1000,71:1500,62:1000,57:250,64:1750,35:500,47:500,52:250,40:250,57:750,49:250,26:500,47:250,46:250,51:250,78:6000,64:2250,61:5250,63:2250,60:2750,48:2750,55:250,49:500,55:500,66:1750,60:1250,62:750,67:3000,69:9000,59:1000,52:1500,51:1500,63:1500,45:250,33:250,35:250,39:250,58:1750,55:1750,57:1000,59:3000,62:3000,50:4500,52:4500,53:500,53:250,43:250,37:250,55:750,48:250,36:250,55:1000,43:1000,31:1000,51:1250,55:1250,44:500,53:750,53:1250,58:1250,53:1000,46:1250,59:750,39:500,37:1000,52:1000,54:1000,42:500,44:750,34:500,66:9000,49:3000,50:3000,49:1500,48:1500,60:1500,68:2500,97:250,56:1750,42:250,30:250,40:500,32:500,44:1000,42:750,56:2250,56:1250,51:750,44:1250,56:2750,61:2750,61:5500,65:5500,46:1000,47:1000,54:1250,47:750,54:750,48:500,46:500,41:250,28:250,51:2250,58:2250,49:1250,34:750,39:1750,49:1000,40:750,52:750,41:750,57:3000,55:3000,48:3000,44:1500,43:1500,55:1500,48:1000,44:4750,49:4750,56:4750,28:500,50:1000,60:5500,59:1250,37:750,62:1750,59:1750,48:750,45:1500,57:1500,31:250,70:9000,68:3250,87:1250,93:250,84:1000,79:7750,73:7750,91:1500,87:1500,82:1500,87:2750,66:1500,63:1750,91:1000,67:2250,70:1750,78:3250,45:750,45:1000,35:750,36:1000,32:1000,32:3000,31:3000,43:3000,27:3000,39:3000,32:250,42:1000,41:500,29:250,42:1250,33:3000,44:3000,29:500,38:1000,40:1000,34:250,35:1000,41:1750,42:1750,54:1750,45:6000,27:4500,30:4500,42:4500,39:1250,36:1250,48:1250,27:3500,46:5250,30:500,30:1000,30:1500,28:1500,40:1500,25:250,43:2500,38:2500,50:2500,41:1000,29:1000,32:750,43:750,31:750,39:750,36:750,36:500,50:750,46:1750,34:1750,34:1000,31:500,50:1250,90:750,92:1750,99:500,91:500,97:500,96:250,94:500,98:250,101:1000,95:500,99:3000,101:250,99:1500,99:250
83,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,7,0,6,1,2,0,0,0,0,1,1,0,0,0,1,0,1,6,3,3,2,5,4,3,2,0,1,1,1,1,0,3,3,0,2,0,0,2,0,1,0,0,0,0,4,0,1,0,0,1,2,3,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,6,1,1,0,0,0,1,1,0,0,3,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,1,6,0,0,0,6,0,0,0,2,0,0,0,0,0,2,5,0,3,0,2,2,7,1,0,0,0,0,0,2,7,1,1,5,10,11,0,4,7,2,8,0,0,3,2,0,0,1,2,0,8,0,0,1,0,0,0,0,0,0,0,3,0,4,0,1,0,8,8,0,0,2,16,2,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,7,0,0,0,1,0,0,0,0,0,3,2,0,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,9,1,9,0,9,12,0,0,0,0,6,2,16,6,3,6,5,10,10,23,1,5,6,0,11,0,0,8,0,0,0,0,1,1,7,0,0,0,0,47,5,0,0,0,1,6,0,1,62,0,1,0,1,2,1,0,30,15,1,0,11,1,0,6,0,0,3,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,25,24,0,0,1,4,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,0,1,2,1,0,0,3,0,0,2,1,6,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,2,1,0,3,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,3,0,0,1,1,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,2,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,3,0,0,0,0,5,6,0,0,0,0,0,0,0,0,3,0,1,4,0,6,15,0,2,1,4,1,0,0,0,11,1,0,0,3,4,0,6,2,0,4,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,5,0,0,0,0,1,4,1,0,0,1,0,7,4,4,0,3,31,0,0,6,0,0,30,0,0,0,0,0,0,0,0,0,0,8,0,34,0,0,0,0,0,0,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,13,9,0,0,0,0,27,0,0,0,0,0,0,0,0,38,2,4,1,3,9,0,1,24,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,36,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,3,1,0,0,0,10,0,0,8,2,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,6,0,20,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,0,0,1,0,6,0,0,0,0,14,10,3,0,0,1,3,2,2,0,9,3,3,8,0,9,33,1,2,2,3,5,5,0,0,12,6,2,14,2,6,2,11,5,2,37,0,2,2,0,0,0,3,0,5,2,4,8,0,1,9,27,0,0,0,0,1,3,2,2,1,6,0,20,7,1,0,10,38,4,0,16,1,0,29,0,0,0,0,0,0,0,10,4,10,9,1,4,3,1,0,0,0,3,1,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,1,13,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,19,1,0,0,0,0,0,0,0,11,2,2,1,5,2,2,0,8,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,2,2,4,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,19,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,3,2,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,8,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,3,6,0,0,0,0,0,0,0,0,0,0,1,1,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,3,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,9,1,0,0,8,0,0,1,0,0,0,0,0,8,0,1,0,50,6,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,0,0,13,9,0,12,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,3,1,1,1,1,0,0,0,4,0,3,2,1,0,0,0,0,0,0,3,11,0,4,2,0,1,0,0,0,0,0,0,5,1,1,2,1,0,0,0,3,0,0,0,26,1,1,19,1,0,1,1,0,0,0,0,2,0,12,0,0,0,0,0,0,16,0,0,4,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,6,0,0,0,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,43,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,27,1,12,44,0,0,0,3,0,8,0,0,0,0,14,0,0,0,10,3,1,18,0,0,0,0,0,0,0,1,4,4,0,6,0,5,0,6,0,0,0,0,0,0,4,0,1,0,0,2,0,0,11,0,0,0,1,1,0,1,0,0,0,3,1,0,0,4,5,3,0,0,1,0,2,0,0,0,0,0,2,4,1,4,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,2,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,5,0,0,7,0,0,0,1,3,6,0,0,0,2,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
